

X [ m ], Y [ m ], Z [ m ]
2.68400344e-03, 4.57667559e-03, -5.24484634e-01
2.80173402e-03, 4.62984527e-03, -5.24455667e-01
2.92815082e-03, 4.62243333e-03, -5.24296939e-01
6.06224872e-04, 4.88457084e-03, -5.24369717e-01
5.38370630e-04, 5.02080424e-03, -5.24420083e-01
6.73734001e-04, 4.94300108e-03, -5.24508953e-01
7.57345930e-04, 4.79220878e-03, -5.24454832e-01
6.86853891e-04, 4.71358560e-03, -5.24297655e-01
4.63272940e-04, 4.80831321e-03, -5.24063110e-01
5.00881928e-04, 4.69009764e-03, -5.24005413e-01
4.17109113e-04, 4.76200832e-03, -5.23920715e-01
3.79926350e-04, 4.88740671e-03, -5.23979068e-01
4.25663835e-04, 4.93297912e-03, -5.24133146e-01
1.62493833e-03, 5.18776709e-03, -5.25592923e-01
1.57489278e-03, 5.13480976e-03, -5.25478899e-01
1.50457770e-03, 5.21568814e-03, -5.25552094e-01
1.52588612e-03, 5.28348377e-03, -5.25669813e-01
1.68908911e-03, 5.23822987e-03, -5.25718093e-01
-3.37725419e-06, 5.99618163e-03, -5.23010194e-01
-6.19784669e-06, 5.86012611e-03, -5.23071051e-01
2.41099679e-05, 5.89892454e-03, -5.22895515e-01
5.10239508e-04, 1.13113662e-02, -5.24791896e-01
5.67854557e-04, 1.14411283e-02, -5.24852455e-01
4.73294989e-04, 1.13499453e-02, -5.24946868e-01
6.32313080e-04, 1.15720592e-02, -5.24908543e-01
5.34822291e-04, 1.14818849e-02, -5.25002182e-01
3.26059433e-03, 1.26178507e-02, -5.23879647e-01
3.10557918e-03, 1.25793237e-02, -5.23914814e-01
3.16095562e-03, 1.25282127e-02, -5.23782551e-01
3.20783467e-03, 1.24654518e-02, -5.23637354e-01
3.31766158e-03, 1.25632761e-02, -5.23741603e-01
